采购项目名称	预算金额	行政区域	网址
温州市智信招标代理有限公司关于涉案船舶定点停泊及拆解场所项目的公开招标公告	￥750.000000万元（人民币）	温州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181210_11309740.htm
中华人民共和国北仑边防检查站北仑边防检查站船艇修理项目（重招）招标公告	￥25.000000万元（人民币）	宁波市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201810/t20181031_11006881.htm
嘉兴市银建工程咨询评估有限公司关于嘉兴市港航管理局2018年度管理艇新增项目（36米应急指挥艇）的公开招标公告	￥1500.000000万元（人民币）	嘉兴市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181119_11136509.htm
中华人民共和国海口海事局-海口海事局2018年“海巡21”船和“海巡1102”船年度维修项目-公开招标公告	￥523.391960万元（人民币）	海口市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180930_10820144.htm
酉阳县乌江龚滩码头专用连接公路工程龚滩客运码头扩建工程（趸船采购）(18A0824)采购公告	￥920.000000万元（人民币）	酉阳土家族苗族自治县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181126_11197334.htm
交通运输部海事局海事监管信息系统功能完善应用项目01包海事船舶安全监督管理系统升级完善（第三次招标）公开招标公告	￥118.000000万元（人民币）	北京市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201811/t20181112_11087734.htm
绥江县职业高级中学趸船、旅游实训船采购项目招标公告	￥330.000000万元（人民币）	昭通市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181227_11431988.htm
交通运输部海事局海事监管信息系统功能完善应用项目01包海事船舶安全监督管理系统升级完善（重新招标）公开招标公告	￥118.000000万元（人民币）	北京市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201810/t20181019_10926465.htm
广东省粤东航道事务中心本部韩江下游航道维护疏浚项目公开招标公告	￥1010.000000万元（人民币）	汕头市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181210_11309104.htm
新乡市市区河渠综合管理办公室割草船采购项目二次竞争性谈判公告	￥42.000000万元（人民币）	新乡市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181030_11000148.htm
交通运输部东海航海保障中心上海航标处东海航海保障中心上海航标处船舶租赁项目公开招标公告	￥700.000000万元（人民币）	浦东新区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181118_11134114.htm
厦门港口进出港船舶调度引航管理系统3.0服务类采购项目招标公告	￥130.000000万元（人民币）	厦门市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180930_10818525.htm
渝中区城市桥梁涉水桥墩（柱）防撞风险评估及防范措施(18C0112)采购公告	￥90.000000万元（人民币）	渝中区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181126_11196868.htm
中国人民银行上海分行物业管理及服务项目公开招标公告	￥2200.000000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181112_11087058.htm
上海交通大学船舶海洋与建筑工程学院超高功率密度船用单缸机柴油机试验系统光盘国际招标公开招标公告	￥120.000000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181019_10925008.htm
中国海警1115、1123船坞修工程招标项目公开招标公告	￥287.800000万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181227_11431787.htm
山东省公安边防总队海警第二支队中国海警37005艇坞修项目公开招标公告	￥107.715858万元（人民币）	市北区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181207_11298744.htm
滦南县水产局海洋渔船通导与救生设备项目（二次）招标公告	￥139.750000万元（人民币）	滦南县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181030_10998646.htm
长江航道局长江宜昌、重庆段数字航道软件升级公开招标公告	￥696.411000万元（人民币）	武汉市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181118_11133344.htm
中远海运客运有限公司船舶卧具采购项目公开招标公告	￥99.840000万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180930_10816699.htm
广西鼎策工程顾问有限责任公司龙州县上金乡旅游客船采购（项目编号：CZZC2018-G1-60183-DCZB）公开招标公告	￥200.000000万元（人民币）	龙州县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181126_11196654.htm
